삼성,0,1,0,1,0,0,0,0,5,-,-,-,7,11,2,2,두산,0,1,0,1,0,0,0,0,1,-,-,-,3,11,1,3,1
LG,0,2,2,1,0,0,0,0,3,-,-,-,8,12,0,5,SK,0,1,0,0,3,0,0,0,0,-,-,-,4,8,2,5,1
KIA,0,0,6,0,3,0,0,0,0,-,-,-,9,13,0,4,한화,3,0,2,2,0,0,0,0,1,-,-,-,8,17,2,7,1
넥센,0,1,0,0,2,0,0,0,0,-,-,-,3,6,1,5,NC,0,1,2,0,0,0,0,1,-,-,-,-,4,6,0,5,1
롯데,0,0,3,0,0,0,3,0,0,-,-,-,6,10,1,5,kt,0,7,5,0,5,0,2,0,-,-,-,-,19,23,1,4,4
삼성,1,0,0,0,0,0,0,0,0,-,-,-,1,7,0,4,두산,0,0,0,0,2,0,1,0,-,-,-,-,3,7,1,2,1
LG,0,0,0,0,2,0,0,0,0,-,-,-,2,6,1,1,SK,2,0,1,4,1,0,0,0,-,-,-,-,8,16,1,3,1
KIA,1,0,0,1,0,1,0,0,0,-,-,-,3,8,0,2,한화,2,0,0,0,0,0,0,0,0,-,-,-,2,5,0,5,1
넥센,0,1,0,0,0,0,0,2,1,-,-,-,4,8,0,3,NC,0,0,3,0,1,0,1,0,-,-,-,-,5,8,2,5,1
롯데,0,1,0,1,0,1,2,3,1,0,0,0,9,17,0,6,kt,0,0,0,0,0,4,1,3,1,0,0,1,10,20,0,8,1
데이터가,존재하지,않습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,7,0,0,0,0,1,0,0,0,-,-,-,8,9,1,6,LG,0,0,0,0,1,0,0,0,0,-,-,-,1,7,0,2,4
KIA,0,1,0,0,0,0,1,1,3,-,-,-,6,10,1,3,넥센,3,2,1,0,2,3,0,0,-,-,-,-,11,15,0,1,1
한화,0,1,0,0,0,0,0,0,1,-,-,-,2,8,0,1,SK,1,0,2,0,0,0,4,2,-,-,-,-,9,13,0,9,4
삼성,0,6,0,0,0,0,2,1,0,-,-,-,9,11,0,9,kt,0,0,0,1,0,0,2,1,0,-,-,-,4,8,1,2,1
두산,0,1,0,0,0,2,0,0,0,-,-,-,3,5,0,1,롯데,0,0,0,0,0,0,0,0,0,-,-,-,0,5,0,1,6
NC,0,1,3,2,0,0,0,0,0,-,-,-,6,8,0,7,LG,0,0,1,0,0,0,1,0,0,-,-,-,2,6,0,2,1
KIA,1,0,1,0,0,0,0,0,0,-,-,-,2,6,3,4,넥센,0,0,0,0,1,0,0,2,-,-,-,-,3,10,1,2,3
한화,0,0,0,1,0,0,0,0,2,-,-,-,3,8,0,2,SK,5,1,0,1,0,0,0,0,-,-,-,-,7,8,1,7,1
삼성,0,0,1,2,2,1,0,5,0,-,-,-,11,16,1,8,kt,0,0,0,1,0,0,0,0,0,-,-,-,1,10,2,1,4
두산,1,0,0,0,4,0,0,1,0,-,-,-,6,10,0,5,롯데,0,0,1,0,2,0,5,0,-,-,-,-,8,9,1,8,3
넥센,0,0,0,0,3,0,2,0,0,-,-,-,5,6,1,8,두산,0,0,0,9,4,0,2,0,-,-,-,-,15,17,1,7,4
LG,0,0,0,1,0,0,0,0,0,-,-,-,1,3,0,0,한화,0,2,0,0,1,0,1,0,-,-,-,-,4,13,0,5,1
kt,0,0,0,0,0,2,4,0,1,-,-,-,7,12,1,4,KIA,2,0,0,0,0,0,0,0,0,-,-,-,2,6,1,9,3
롯데,0,0,2,0,0,0,0,0,1,-,-,-,3,10,2,4,NC,3,0,2,0,0,1,0,2,-,-,-,-,8,10,0,3,1
SK,1,0,0,0,4,0,3,0,0,-,-,-,8,10,1,5,삼성,0,3,3,2,4,0,2,0,-,-,-,-,14,17,0,6,1
넥센,0,0,0,2,3,0,0,0,5,-,-,-,10,14,1,0,두산,2,3,0,2,0,1,0,6,-,-,-,-,14,16,3,6,1
LG,0,1,0,3,0,1,0,0,0,1,-,-,6,13,0,3,한화,2,0,0,0,0,0,1,1,1,0,-,-,5,17,0,3,1
kt,1,0,2,0,0,0,0,2,0,0,-,-,5,7,2,3,KIA,1,0,2,0,1,0,1,0,0,1,-,-,6,12,1,5,2
롯데,0,0,0,0,0,0,0,0,0,-,-,-,0,7,2,1,NC,0,2,2,0,4,1,4,0,-,-,-,-,13,19,0,3,4
SK,0,0,0,1,0,0,3,0,0,-,-,-,4,12,0,1,삼성,4,3,0,1,6,0,0,3,-,-,-,-,17,19,0,8,1
LG,0,0,2,0,0,0,1,0,1,-,-,-,4,8,0,3,두산,0,1,0,0,1,0,0,1,0,-,-,-,3,8,1,3,1
kt,3,1,1,1,1,0,0,0,1,-,-,-,8,12,0,4,SK,0,3,0,0,0,7,0,1,-,-,-,-,11,14,3,7,3
