한화,0,0,0,0,0,0,0,0,0,-,-,-,0,7,0,0,두산,0,2,3,1,0,0,0,0,-,-,-,-,6,11,0,6,6
KIA,0,0,0,2,0,1,5,0,3,-,-,-,11,15,1,5,넥센,0,0,0,6,0,0,0,0,0,-,-,-,6,9,3,2,1
삼성,1,0,0,1,0,3,0,0,0,-,-,-,5,7,2,4,SK,0,5,2,0,0,0,0,0,-,-,-,-,7,11,0,4,1
롯데,0,0,0,0,1,0,1,0,0,-,-,-,2,11,0,1,NC,2,1,0,0,2,0,0,1,-,-,-,-,6,11,0,4,1
LG,0,0,0,0,1,0,0,3,2,-,-,-,6,7,0,5,kt,0,0,0,1,0,0,1,0,0,-,-,-,2,7,1,4,1
한화,0,0,0,3,1,0,0,0,1,-,-,-,5,10,0,2,삼성,1,0,0,0,2,0,0,1,0,-,-,-,4,12,1,7,1
kt,0,2,0,0,0,0,0,0,0,-,-,-,2,1,0,6,KIA,0,2,0,0,0,0,1,0,-,-,-,-,3,5,1,3,1
넥센,1,0,1,0,2,0,0,0,0,-,-,-,4,10,0,4,롯데,0,0,0,3,0,0,1,1,-,-,-,-,5,11,0,3,1
NC,1,0,0,0,0,0,0,0,1,-,-,-,2,7,1,0,LG,3,0,0,0,0,1,0,2,-,-,-,-,6,13,1,4,1
두산,3,0,0,0,0,0,2,0,0,-,-,-,5,10,1,4,SK,0,0,1,0,0,0,1,0,0,-,-,-,2,8,1,3,1
한화,0,0,0,0,0,0,0,0,0,-,-,-,0,8,1,2,삼성,0,1,2,0,0,0,0,0,-,-,-,-,3,7,0,8,1
kt,3,0,0,0,1,0,1,0,0,3,-,-,8,14,1,5,KIA,2,0,0,0,0,3,0,0,0,4,-,-,9,12,0,4,3
넥센,0,1,3,0,2,0,0,2,0,-,-,-,8,12,2,5,롯데,3,2,2,0,0,1,0,0,1,-,-,-,9,13,0,3,1
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5
두산,3,4,0,0,0,0,0,0,1,-,-,-,8,9,0,8,SK,0,1,0,0,0,5,0,1,2,-,-,-,9,14,1,3,3
한화,3,0,0,0,5,0,0,0,1,-,-,-,9,9,2,4,삼성,3,0,0,0,1,1,0,0,2,-,-,-,7,10,1,8,1
kt,0,0,2,0,0,0,0,0,0,-,-,-,2,5,0,1,KIA,0,0,3,3,4,0,0,0,-,-,-,-,10,12,1,3,4
넥센,0,0,3,1,0,1,0,5,0,-,-,-,10,18,0,6,롯데,3,0,0,0,1,0,0,1,0,-,-,-,5,10,2,2,2
SK,0,0,0,3,2,0,0,0,0,-,-,-,5,8,1,5,LG,0,0,0,0,2,0,0,0,0,-,-,-,2,7,0,1,1
넥센,0,0,1,4,0,1,0,0,0,-,-,-,6,9,1,6,한화,1,0,2,0,0,0,0,0,0,-,-,-,3,5,1,2,1
NC,2,0,3,0,0,0,0,0,2,-,-,-,7,11,0,4,삼성,4,0,0,0,0,0,0,1,0,-,-,-,5,11,1,7,1
롯데,0,1,0,0,2,2,1,3,0,0,0,2,11,18,1,8,kt,1,2,4,0,0,0,0,0,2,0,0,1,10,16,1,10,2
SK,0,1,0,0,0,2,2,2,0,-,-,-,7,15,0,8,LG,0,0,0,1,3,0,2,0,0,-,-,-,6,11,1,9,1
넥센,0,0,5,2,0,1,0,0,0,-,-,-,8,9,1,6,한화,0,0,3,2,0,0,0,0,0,-,-,-,5,10,2,6,1
NC,0,0,0,1,2,3,2,0,0,-,-,-,8,14,1,2,삼성,2,3,0,2,1,0,1,0,-,-,-,-,9,12,0,9,1
두산,0,1,2,1,0,0,1,0,2,-,-,-,7,10,0,13,KIA,0,0,0,3,1,0,1,0,0,-,-,-,5,12,0,2,2
롯데,0,1,0,1,0,2,0,6,0,-,-,-,10,11,1,8,kt,0,0,0,1,0,0,0,0,0,-,-,-,1,6,3,3,4
SK,0,0,2,0,0,0,2,0,0,-,-,-,4,10,0,3,LG,0,0,0,0,6,0,0,0,-,-,-,-,6,9,0,1,1
넥센,0,1,5,0,0,0,0,0,0,0,-,-,6,7,1,8,한화,0,0,2,1,0,0,1,1,1,1,-,-,7,13,1,11,1
NC,0,0,1,1,0,0,0,0,0,-,-,-,2,8,0,4,삼성,0,0,0,0,0,0,0,0,0,-,-,-,0,3,2,0,6
두산,0,1,0,1,0,0,0,1,0,-,-,-,3,8,1,6,KIA,1,0,0,0,1,0,1,0,1,-,-,-,4,10,1,4,1
롯데,3,0,0,3,0,0,0,0,0,-,-,-,6,7,3,4,kt,1,0,0,0,0,0,1,0,0,-,-,-,2,7,2,4,1
LG,0,1,0,1,1,3,1,1,2,-,-,-,10,12,1,4,넥센,2,0,0,2,4,4,0,0,-,-,-,-,12,17,1,2,2
