3.38,22,5,5,1
6.75,2,1,1,0
5.59,8,1,3,0
5.14,28,8,5,1
8.78,2,0,0,0
2.82,7,2,1,0
5.45,29,9,2,1
6.59,8,1,3,0
3.63,4,1,0,0
7.91,9,6,0,0
8.14,14,6,0,0
15,9,1,1,0
6.9,3,1,0,0
7.54,5,4,0,0
6.75,4,0,2,0
11.25,9,4,1,0
4.12,24,5,1,1
5.29,7,4,1,0
8.49,1,0,0,0
6.75,4,1,1,0
3.61,30,7,8,1
7.11,3,1,1,0
3.55,2,1,1,0
2.57,4,1,2,0
3.91,22,6,6,1
5.06,8,5,1,0
2.2,5,1,2,0
5.03,4,1,0,0
10.8,5,2,1,0
2.42,21,2,2,1
0,3,0,1,0
4.13,5,2,0,0
6.75,5,2,2,0
3.15,4,3,0,0
2.25,3,0,1,0
7.51,26,8,2,1
3.38,2,1,1,0
6.39,3,2,0,0
3.06,8,3,3,0
5.6,23,4,5,1
5.95,5,2,2,0
3.14,2,2,0,0
5.14,2,0,0,0
4.15,3,2,0,0
0.48,8,1,3,1
4.2,20,7,1,0
2.93,14,3,2,0
2.63,5,0,0,0
6.17,2,1,0,0
2.5,4,1,1,0
5.01,19,7,3,0
9,4,1,0,0
1.86,6,0,1,0
9.24,3,1,0,0
2.89,6,3,0,0
4.15,7,1,0,0
6.26,15,5,1,0
7.11,10,2,0,0
7.94,7,1,0,0
4.76,2,0,0,0
3.95,6,3,1,0
3.33,14,4,4,0
3.86,4,0,1,0
5.5,22,4,6,1
6.85,2,1,0,0
6.37,3,1,1,0
4.91,7,4,0,0
7.48,5,1,0,0
1.35,7,1,2,1
4.18,9,1,3,0
4.21,25,7,5,1
8.74,3,1,1,0
4.05,4,0,0,0
5.87,2,0,1,0
0.48,6,0,1,1
9,19,5,1,0
5.11,8,3,0,0
3.74,7,1,0,0
6.35,8,3,1,0
3.91,22,6,6,1
5.06,8,5,1,0
2.2,5,1,2,0
5.03,4,1,0,0
10.8,5,2,1,0
2.42,21,2,2,1
0,3,0,1,0
4.13,5,2,0,0
6.75,5,2,2,0
3.15,4,3,0,0
2.25,3,0,1,0
7.51,26,8,2,1
3.38,2,1,1,0
6.39,3,2,0,0
3.06,8,3,3,0
5.6,23,4,5,1
5.95,5,2,2,0
3.14,2,2,0,0
5.14,2,0,0,0
4.15,3,2,0,0
0.48,8,1,3,1
4.64,22,6,3,1
2.78,5,0,0,0
6.23,6,3,0,0
7.03,26,4,7,1
9,5,0,1,0
4.76,1,0,1,0
2.57,3,0,2,0
7.43,24,10,4,0
4.32,17,2,2,0
5.13,24,4,6,1
6.04,1,0,1,0
27,3,2,1,0
4.15,7,2,2,0
4.8,17,6,4,0
5.17,10,2,1,0
3,3,0,0,0
3.54,6,1,0,0
3.43,31,8,3,1
4.5,3,0,2,0
2.77,3,0,1,0
4.45,27,7,5,1
2.25,5,2,2,0
2.35,4,0,0,0
11.25,5,2,2,0
12,16,5,1,0
7.97,10,3,2,0
20.25,13,3,0,0
