롯데,0,1,0,0,0,0,0,0,1,-,-,-,2,4,0,3,SK,0,1,0,1,1,0,0,0,-,-,-,-,3,9,0,4,2
kt,0,0,3,1,0,0,1,0,0,-,-,-,5,9,0,5,삼성,0,1,3,0,1,1,0,0,-,-,-,-,6,12,0,4,2
NC,1,0,1,0,0,0,0,0,0,-,-,-,2,5,1,2,KIA,0,0,0,0,1,3,0,2,-,-,-,-,6,12,0,4,1
KIA,0,0,0,0,0,1,1,3,0,-,-,-,5,9,0,2,두산,0,0,2,0,0,0,1,0,0,-,-,-,3,5,0,4,3
SK,0,1,0,0,0,0,4,1,2,-,-,-,8,11,1,5,한화,0,0,0,0,0,0,0,1,0,-,-,-,1,5,1,1,4
삼성,1,1,0,1,0,0,0,0,0,-,-,-,3,7,0,5,롯데,0,1,0,0,0,2,1,0,-,-,-,-,4,10,0,3,2
넥센,0,0,3,0,1,0,1,0,0,-,-,-,5,8,0,2,NC,3,0,0,0,0,0,1,0,0,-,-,-,4,11,0,7,2
LG,0,1,0,1,0,0,0,0,1,-,-,-,3,7,1,7,kt,1,0,0,0,0,1,0,2,-,-,-,-,4,9,0,2,2
SK,4,0,0,0,3,0,1,1,0,-,-,-,9,10,0,12,한화,3,0,0,0,0,0,0,1,0,-,-,-,4,11,0,11,1
삼성,0,1,1,0,1,4,0,2,0,-,-,-,9,14,0,3,롯데,3,1,0,1,0,0,0,2,0,-,-,-,7,11,2,4,2
넥센,0,1,0,1,0,0,0,1,0,-,-,-,3,8,2,5,NC,0,0,3,0,0,3,0,3,-,-,-,-,9,14,0,5,1
LG,0,0,0,1,4,-,-,-,-,-,-,-,5,7,1,3,kt,0,0,0,3,4,-,-,-,-,-,-,-,7,12,0,3,1
kt,0,0,0,0,2,2,1,6,0,-,-,-,11,16,0,6,두산,0,0,1,0,0,0,0,0,0,-,-,-,1,11,2,3,4
삼성,0,0,1,0,0,1,0,0,0,-,-,-,2,5,0,2,넥센,0,0,0,0,0,0,3,0,-,-,-,-,3,7,0,7,3
LG,0,2,1,0,0,0,0,0,0,-,-,-,3,8,1,3,KIA,1,0,1,5,0,0,0,0,-,-,-,-,7,8,0,9,1
한화,0,0,0,0,0,2,0,0,0,-,-,-,2,3,2,3,롯데,0,7,1,0,0,2,1,0,-,-,-,-,11,11,0,4,4
SK,0,0,0,0,1,0,0,1,0,-,-,-,2,10,0,0,NC,2,2,0,0,0,1,0,0,-,-,-,-,5,12,0,6,1
kt,1,0,0,1,0,0,0,0,1,-,-,-,3,7,0,5,두산,0,1,0,0,1,0,2,0,-,-,-,-,4,16,2,1,2
삼성,1,2,0,0,2,1,1,0,0,-,-,-,7,12,1,7,넥센,0,1,2,0,0,1,0,0,0,-,-,-,4,10,0,3,1
LG,0,1,4,0,0,0,0,0,0,-,-,-,5,6,0,3,KIA,0,0,1,0,0,1,0,0,0,-,-,-,2,5,0,4,1
한화,0,1,0,0,3,0,0,3,0,-,-,-,7,12,0,3,롯데,0,1,0,0,0,0,0,0,3,-,-,-,4,10,1,4,1
SK,2,0,3,1,0,4,1,0,0,-,-,-,11,18,2,1,NC,0,0,2,0,1,0,1,2,6,-,-,-,12,14,0,6,3
데이터가,존재하지,않습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
롯데,5,0,0,0,0,3,0,0,0,-,-,-,8,9,0,7,두산,0,0,0,0,0,0,0,1,1,-,-,-,2,6,2,3,1
SK,0,2,3,0,0,1,0,0,0,-,-,-,6,10,0,4,삼성,3,0,0,0,0,0,0,0,0,-,-,-,3,11,1,2,1
한화,5,0,0,0,0,2,0,0,0,-,-,-,7,9,0,9,KIA,0,1,0,1,0,0,0,1,0,-,-,-,3,7,1,3,1
kt,0,0,1,0,0,0,1,0,1,-,-,-,3,6,0,2,NC,3,3,1,0,0,4,0,0,-,-,-,-,11,12,0,10,4
롯데,0,0,1,0,4,2,0,0,0,0,0,2,9,17,1,5,두산,3,0,1,1,0,0,2,0,0,0,0,0,7,11,0,6,2
LG,0,0,2,2,0,0,0,0,0,-,-,-,4,10,1,4,넥센,0,0,0,0,0,0,0,0,1,-,-,-,1,7,0,1,1
SK,0,1,3,0,0,0,3,0,0,-,-,-,7,8,3,1,삼성,1,0,0,1,1,1,1,0,0,-,-,-,5,8,2,6,1
한화,0,2,1,0,0,0,0,0,0,-,-,-,3,5,1,2,KIA,0,2,0,0,0,0,1,1,-,-,-,-,4,3,0,7,2
롯데,0,0,0,0,0,0,0,0,0,-,-,-,0,6,0,1,두산,1,1,4,4,0,3,0,0,-,-,-,-,13,15,1,7,6
NC,0,1,2,4,0,0,4,0,0,-,-,-,11,10,0,11,한화,0,0,3,0,0,0,1,3,0,-,-,-,7,10,1,3,1
SK,0,0,0,2,0,2,0,1,0,-,-,-,5,10,1,5,삼성,3,4,1,1,0,1,0,0,-,-,-,-,10,17,0,3,1
kt,0,0,0,1,0,2,0,0,0,-,-,-,3,10,1,1,KIA,0,0,0,1,0,0,0,0,0,-,-,-,1,7,0,4,2
NC,0,4,2,0,2,0,7,0,0,-,-,-,15,20,0,6,한화,0,0,0,0,1,0,0,0,1,-,-,-,2,5,0,4,4
두산,0,0,0,2,2,0,0,0,0,-,-,-,4,9,0,5,삼성,0,1,1,0,1,0,0,7,-,-,-,-,10,15,1,8,3
SK,0,0,0,1,1,0,1,0,0,-,-,-,3,6,0,5,롯데,0,0,0,0,0,0,1,0,0,-,-,-,1,3,0,5,2
넥센,0,0,1,0,3,0,3,0,0,-,-,-,7,10,0,2,LG,0,0,1,0,0,1,3,0,0,-,-,-,5,11,1,5,2
KIA,0,0,0,0,1,0,3,0,0,-,-,-,4,8,2,4,SK,0,1,4,0,2,0,0,1,-,-,-,-,8,13,1,7,1
두산,0,1,0,0,1,0,0,3,1,-,-,-,6,10,2,6,한화,5,0,0,0,1,0,0,1,-,-,-,-,7,15,0,7,2
kt,0,1,0,0,0,0,2,0,0,-,-,-,3,11,1,1,LG,4,2,0,0,0,0,0,1,-,-,-,-,7,11,0,2,1
KIA,0,0,0,0,0,2,0,0,0,-,-,-,2,5,0,4,SK,0,2,1,0,0,4,2,0,-,-,-,-,9,10,1,7,1
두산,0,0,5,1,0,6,0,4,0,-,-,-,16,18,0,10,한화,0,0,3,0,0,0,0,1,0,-,-,-,4,13,0,3,4
삼성,4,0,3,1,9,0,0,0,0,-,-,-,17,17,0,7,롯데,3,3,0,0,1,0,0,6,0,-,-,-,13,20,2,2,1
넥센,1,0,0,0,0,1,0,1,0,-,-,-,3,5,0,6,NC,0,1,1,3,0,4,0,0,-,-,-,-,9,18,1,6,1
kt,0,1,0,0,0,0,1,0,2,-,-,-,4,9,0,6,LG,0,0,0,0,0,1,0,0,0,-,-,-,1,7,2,2,1
KIA,0,0,0,1,2,1,1,1,1,-,-,-,7,10,0,3,SK,0,0,0,0,0,0,0,0,0,-,-,-,0,4,1,2,6
넥센,0,0,0,2,1,0,1,0,0,-,-,-,4,13,0,3,NC,0,0,0,0,0,0,0,1,0,-,-,-,1,6,0,1,1
NC,0,0,0,0,0,0,0,0,0,-,-,-,0,4,0,2,삼성,0,2,0,0,0,0,0,0,-,-,-,-,2,6,0,3,6
LG,4,3,3,3,0,0,2,0,0,-,-,-,15,17,1,6,KIA,0,0,3,0,0,1,1,0,0,-,-,-,5,9,2,3,4
두산,4,2,0,0,0,0,0,0,0,-,-,-,6,9,0,7,롯데,0,0,0,0,3,0,1,1,0,-,-,-,5,9,1,0,2
SK,0,0,0,0,0,0,0,0,0,-,-,-,0,7,0,3,넥센,3,0,4,3,0,0,0,0,-,-,-,-,10,13,0,11,6
삼성,5,2,0,0,0,2,0,1,1,-,-,-,11,13,0,7,kt,0,0,0,0,0,0,0,0,0,-,-,-,0,1,4,2,6
SK,0,5,2,0,0,3,2,0,0,-,-,-,12,16,1,5,넥센,0,0,0,0,0,4,0,0,0,-,-,-,4,9,3,3,4
두산,3,0,0,0,0,0,0,0,0,-,-,-,3,6,1,3,롯데,0,0,0,2,0,0,0,0,0,-,-,-,2,7,0,4,2
두산,0,0,0,1,0,2,6,1,0,-,-,-,10,10,1,5,롯데,0,0,0,3,0,0,3,0,0,-,-,-,6,13,2,4,1
KIA,0,0,0,0,0,1,1,3,0,-,-,-,5,11,1,3,NC,0,7,9,0,0,0,0,0,-,-,-,-,16,14,0,11,4
삼성,0,0,0,0,0,2,0,3,0,-,-,-,5,12,0,4,kt,0,0,0,1,1,0,0,0,0,-,-,-,2,6,1,6,1
kt,2,4,0,0,0,0,3,1,0,-,-,-,10,14,1,7,두산,2,0,0,0,1,0,1,0,0,-,-,-,4,9,0,1,1
삼성,0,0,0,0,0,0,1,2,0,-,-,-,3,6,0,6,SK,2,0,0,1,1,0,0,0,-,-,-,-,4,8,0,1,2
넥센,0,0,0,0,0,0,0,0,0,-,-,-,0,5,0,1,한화,1,0,0,0,0,2,0,1,-,-,-,-,4,8,0,3,6
LG,0,0,0,0,2,0,0,0,3,-,-,-,5,11,1,3,NC,3,0,0,0,0,0,0,0,1,-,-,-,4,8,2,2,3
삼성,2,0,0,1,0,0,0,0,0,-,-,-,3,6,1,2,두산,3,0,2,0,2,0,4,3,-,-,-,-,14,13,0,5,4
SK,1,0,0,0,1,0,3,0,0,-,-,-,5,13,0,4,KIA,1,0,0,0,0,5,0,1,-,-,-,-,7,9,0,6,2
넥센,0,0,0,0,0,0,0,2,1,-,-,-,3,5,2,7,한화,0,1,5,0,2,3,2,0,-,-,-,-,13,14,1,8,4
LG,0,8,1,1,0,0,0,0,0,-,-,-,10,14,1,7,두산,0,0,3,0,0,0,0,0,0,-,-,-,3,8,0,3,4
kt,0,0,0,0,1,0,2,0,0,0,-,-,3,10,0,1,넥센,0,0,1,1,0,0,1,0,0,1,-,-,4,12,1,4,2
롯데,0,1,0,0,2,0,0,0,1,-,-,-,4,9,1,4,NC,0,0,2,0,0,0,0,0,0,-,-,-,2,6,0,6,2
KIA,0,0,0,0,0,0,0,3,1,-,-,-,4,9,2,3,LG,0,3,2,0,3,0,0,0,-,-,-,-,8,15,2,4,1
넥센,0,0,0,0,0,1,1,0,0,-,-,-,2,11,0,4,SK,0,3,3,6,0,0,3,0,-,-,-,-,15,17,0,2,4
한화,0,0,0,0,0,0,0,0,0,-,-,-,0,2,0,1,NC,0,1,2,2,0,0,0,1,-,-,-,-,6,10,1,7,6
NC,0,0,5,1,0,0,0,0,0,-,-,-,6,8,0,7,넥센,3,0,0,0,0,1,0,1,0,-,-,-,5,11,0,4,2
kt,0,0,0,0,0,0,0,0,0,-,-,-,0,3,2,1,SK,2,0,1,3,1,1,2,0,-,-,-,-,10,15,0,4,6
삼성,0,0,0,0,0,4,0,1,1,-,-,-,6,12,1,6,한화,5,0,1,0,0,0,1,0,-,-,-,-,7,11,0,5,2
KIA,2,2,0,0,0,0,1,0,1,-,-,-,6,7,0,7,롯데,0,0,0,4,0,0,0,0,0,-,-,-,4,7,3,3,2
NC,1,2,4,0,1,0,1,8,0,-,-,-,17,15,0,9,두산,0,0,0,0,0,3,0,0,2,-,-,-,5,11,0,4,4
LG,0,0,0,1,0,0,0,0,0,-,-,-,1,9,0,4,SK,0,0,0,2,0,2,4,0,-,-,-,-,8,8,1,8,1
삼성,0,0,0,0,0,0,3,1,2,-,-,-,6,11,1,6,한화,0,5,4,3,1,0,5,0,-,-,-,-,18,17,0,6,4
KIA,1,0,4,0,2,4,0,1,1,-,-,-,13,13,2,6,롯데,0,0,0,0,0,1,0,0,0,-,-,-,1,6,4,3,4
